t,J1,J2,J3,J4,J5,J6
4.242424242424242209e+00,7.112073898315429688e-01,8.499774932861328125e-01,1.816876649856567383e+00,1.538881063461303711e+00,1.802192211151123047e+00,2.259378433227539062e+00
4.343434343434343425e+00,8.856759071350097656e-01,1.010833024978637695e+00,1.962163686752319336e+00,1.691091299057006836e+00,1.766592979431152344e+00,2.296819686889648438e+00
4.444444444444444642e+00,1.041725873947143555e+00,1.154706954956054688e+00,2.092112541198730469e+00,1.827232599258422852e+00,1.734751939773559570e+00,2.330308198928833008e+00
4.545454545454544970e+00,1.176286697387695312e+00,1.278768301010131836e+00,2.204166650772094727e+00,1.944626331329345703e+00,1.707295656204223633e+00,2.359184980392456055e+00
4.646464646464646187e+00,1.286288976669311523e+00,1.380187511444091797e+00,2.295769929885864258e+00,2.040594577789306641e+00,1.684850454330444336e+00,2.382791519165039062e+00
4.747474747474747403e+00,1.368662834167480469e+00,1.456133842468261719e+00,2.364365577697753906e+00,2.112459182739257812e+00,1.668042540550231934e+00,2.400469064712524414e+00
4.848484848484848619e+00,1.420338392257690430e+00,1.503777503967285156e+00,2.407397985458374023e+00,2.157541990280151367e+00,1.657498478889465332e+00,2.411558628082275391e+00
4.949494949494949836e+00,1.438245773315429688e+00,1.520287513732910156e+00,2.422310113906860352e+00,2.173164844512939453e+00,1.653844594955444336e+00,2.415401697158813477e+00
5.050505050505050164e+00,1.438245654106140137e+00,1.520287632942199707e+00,2.422310113906860352e+00,2.173164844512939453e+00,1.653844594955444336e+00,2.415401697158813477e+00
5.151515151515151381e+00,1.418808817863464355e+00,1.517790555953979492e+00,2.418757200241088867e+00,2.151457309722900391e+00,1.657661318778991699e+00,2.391050815582275391e+00
5.252525252525252597e+00,1.362719774246215820e+00,1.510584473609924316e+00,2.408504962921142578e+00,2.088815927505493164e+00,1.668675184249877930e+00,2.320781230926513672e+00
5.353535353535353813e+00,1.273310542106628418e+00,1.499097704887390137e+00,2.392162084579467773e+00,1.988961696624755859e+00,1.686231970787048340e+00,2.208767414093017578e+00
5.454545454545454142e+00,1.153913021087646484e+00,1.483758211135864258e+00,2.370337724685668945e+00,1.855616092681884766e+00,1.709677338600158691e+00,2.059183835983276367e+00
5.555555555555555358e+00,1.007859349250793457e+00,1.464994072914123535e+00,2.343640804290771484e+00,1.692500114440917969e+00,1.738356947898864746e+00,1.876204729080200195e+00
5.656565656565656575e+00,8.384816050529479980e-01,1.443233370780944824e+00,2.312680721282958984e+00,1.503335475921630859e+00,1.771616697311401367e+00,1.664004683494567871e+00
5.757575757575757791e+00,6.491116285324096680e-01,1.418904185295104980e+00,2.278066158294677734e+00,1.291842937469482422e+00,1.808802127838134766e+00,1.426758050918579102e+00
5.858585858585858119e+00,4.430814981460571289e-01,1.392434597015380859e+00,2.240406513214111328e+00,1.061744093894958496e+00,1.849259138107299805e+00,1.168639183044433594e+00
5.959595959595959336e+00,2.237234115600585938e-01,1.364252686500549316e+00,2.200310468673706055e+00,8.167603015899658203e-01,1.892333149909973145e+00,8.938227891921997070e-01
6.060606060606060552e+00,-5.630850791931152344e-03,1.334786534309387207e+00,2.158387422561645508e+00,5.606124401092529297e-01,1.937370061874389648e+00,6.064828634262084961e-01
6.161616161616161769e+00,-2.416490316390991211e-01,1.304464340209960938e+00,2.115246295928955078e+00,2.970223426818847656e-01,1.983715534210205078e+00,3.107943534851074219e-01
6.262626262626262097e+00,-4.809993505477905273e-01,1.273713946342468262e+00,2.071496009826660156e+00,2.971076965332031250e-02,2.030715465545654297e+00,1.093125343322753906e-02
6.363636363636363313e+00,-7.203494310379028320e-01,1.242963552474975586e+00,2.027745723724365234e+00,-2.376005649566650391e-01,2.077715158462524414e+00,-2.889316082000732422e-01
6.464646464646464530e+00,-9.563678503036499023e-01,1.212641239166259766e+00,1.984604358673095703e+00,-5.011911392211914062e-01,2.124060630798339844e+00,-5.846204757690429688e-01
6.565656565656565746e+00,-1.185722231864929199e+00,1.183175206184387207e+00,1.942681312561035156e+00,-7.573387622833251953e-01,2.169097661972045898e+00,-8.719601631164550781e-01
6.666666666666666963e+00,-1.405079960823059082e+00,1.154993295669555664e+00,1.902585387229919434e+00,-1.002322196960449219e+00,2.212171554565429688e+00,-1.146776437759399414e+00
6.767676767676767291e+00,-1.611110329627990723e+00,1.128523707389831543e+00,1.864925622940063477e+00,-1.232421636581420898e+00,2.252628564834594727e+00,-1.404895544052124023e+00
6.868686868686868507e+00,-1.800480246543884277e+00,1.104194521903991699e+00,1.830311059951782227e+00,-1.443913936614990234e+00,2.289813995361328125e+00,-1.642142057418823242e+00
6.969696969696969724e+00,-1.969858288764953613e+00,1.082433819770812988e+00,1.799350976943969727e+00,-1.633078813552856445e+00,2.323073863983154297e+00,-1.854342699050903320e+00
7.070707070707070940e+00,-2.115911483764648438e+00,1.063669681549072266e+00,1.772654175758361816e+00,-1.796194553375244141e+00,2.351753234863281250e+00,-2.037321329116821289e+00
7.171717171717171269e+00,-2.235309123992919922e+00,1.048330187797546387e+00,1.750829696655273438e+00,-1.929540157318115234e+00,2.375198841094970703e+00,-2.186905145645141602e+00
7.272727272727272485e+00,-2.324718475341796875e+00,1.036843419075012207e+00,1.734486818313598633e+00,-2.029394149780273438e+00,2.392755508422851562e+00,-2.298918485641479492e+00
7.373737373737373701e+00,-2.380807399749755859e+00,1.029637336730957031e+00,1.724234461784362793e+00,-2.092035770416259766e+00,2.403769493103027344e+00,-2.369188547134399414e+00
7.474747474747474918e+00,-2.400244235992431641e+00,1.027140259742736816e+00,1.720681667327880859e+00,-2.113743305206298828e+00,2.407586097717285156e+00,-2.393539190292358398e+00
7.575757575757575246e+00,-2.400244474411010742e+00,1.027140259742736816e+00,1.720681667327880859e+00,-2.113743066787719727e+00,2.407586097717285156e+00,-2.393539190292358398e+00
7.676767676767676463e+00,-2.388090372085571289e+00,1.021939158439636230e+00,1.711968779563903809e+00,-2.103039741516113281e+00,2.395394802093505859e+00,-2.381419181823730469e+00
7.777777777777777679e+00,-2.353017330169677734e+00,1.006930351257324219e+00,1.686825633049011230e+00,-2.072153091430664062e+00,2.360214710235595703e+00,-2.346444129943847656e+00
7.878787878787878896e+00,-2.297108888626098633e+00,9.830053448677062988e-01,1.646746158599853516e+00,-2.022918224334716797e+00,2.304135084152221680e+00,-2.290691852569580078e+00
7.979797979797979224e+00,-2.222448587417602539e+00,9.510557651519775391e-01,1.593223810195922852e+00,-1.957169532775878906e+00,2.229246377944946289e+00,-2.216239929199218750e+00
8.080808080808081328e+00,-2.131119728088378906e+00,9.119733572006225586e-01,1.527752161026000977e+00,-1.876742005348205566e+00,2.137638330459594727e+00,-2.125166416168212891e+00
8.181818181818181657e+00,-2.025206327438354492e+00,8.666496276855468750e-01,1.451825141906738281e+00,-1.783470749855041504e+00,2.031400680541992188e+00,-2.019548654556274414e+00
8.282828282828281985e+00,-1.906791448593139648e+00,8.159761428833007812e-01,1.366936206817626953e+00,-1.679190278053283691e+00,1.912623763084411621e+00,-1.901464700698852539e+00
8.383838383838384090e+00,-1.777958869934082031e+00,7.608445882797241211e-01,1.274578928947448730e+00,-1.565735578536987305e+00,1.783397078514099121e+00,-1.772991895675659180e+00
8.484848484848484418e+00,-1.640792131423950195e+00,7.021466493606567383e-01,1.176247239112854004e+00,-1.444941520690917969e+00,1.645810842514038086e+00,-1.636208415031433105e+00
8.585858585858586522e+00,-1.497374653816223145e+00,6.407737731933593750e-01,1.073434472084045410e+00,-1.318642854690551758e+00,1.501954674720764160e+00,-1.493191719055175781e+00
8.686868686868686851e+00,-1.349790334701538086e+00,5.776178240776062012e-01,9.676344990730285645e-01,-1.188674688339233398e+00,1.353918910026550293e+00,-1.346019506454467773e+00
8.787878787878787179e+00,-1.200122237205505371e+00,5.135701298713684082e-01,8.603408336639404297e-01,-1.056871533393859863e+00,1.203793048858642578e+00,-1.196769595146179199e+00
8.888888888888889284e+00,-1.050454378128051758e+00,4.495224952697753906e-01,7.530472278594970703e-01,-9.250684976577758789e-01,1.053667306900024414e+00,-1.047519803047180176e+00
8.989898989898989612e+00,-9.028697013854980469e-01,3.863664269447326660e-01,6.472471952438354492e-01,-7.951000928878784180e-01,9.056313037872314453e-01,-9.003474712371826172e-01
9.090909090909089940e+00,-7.594523429870605469e-01,3.249936103820800781e-01,5.444344282150268555e-01,-6.688015460968017578e-01,7.617752552032470703e-01,-7.573307752609252930e-01
9.191919191919192045e+00,-6.222858428955078125e-01,2.662957310676574707e-01,4.461028575897216797e-01,-5.480076074600219727e-01,6.241891384124755859e-01,-6.205474138259887695e-01
9.292929292929292373e+00,-4.934530258178710938e-01,2.111640572547912598e-01,3.537454605102539062e-01,-4.345527887344360352e-01,4.949623346328735352e-01,-4.920744895935058594e-01
9.393939393939394478e+00,-3.750381469726562500e-01,1.604906916618347168e-01,2.688565254211425781e-01,-3.302723169326782227e-01,3.761854171752929688e-01,-3.739905357360839844e-01
9.494949494949494806e+00,-2.691245079040527344e-01,1.151668429374694824e-01,1.929293870925903320e-01,-2.370008230209350586e-01,2.699477672576904297e-01,-2.683727741241455078e-01
9.595959595959595134e+00,-1.777958869934082031e-01,7.608449459075927734e-02,1.274579763412475586e-01,-1.565735340118408203e-01,1.783397197723388672e-01,-1.772992610931396484e-01
9.696969696969697239e+00,-1.031355857849121094e-01,4.413491487503051758e-02,7.393550872802734375e-02,-9.082484245300292969e-02,1.034510135650634766e-01,-1.028473377227783203e-01
9.797979797979797567e+00,-4.722714424133300781e-02,2.021002769470214844e-02,3.385603427886962891e-02,-4.158997535705566406e-02,4.737162590026855469e-02,-4.709529876708984375e-02
9.898989898989899672e+00,-1.215410232543945312e-02,5.201101303100585938e-03,8.712887763977050781e-03,-1.070332527160644531e-02,1.219129562377929688e-02,-1.212000846862792969e-02
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
