t,dJ1,dJ2,dJ3,dJ4,dJ5,dJ6,dJ7,dJ8,dJ9,dJ10,dJ11,dJ12
1.010101010101010166e+00,7.948510348796844482e-02,5.656626224517822266e-01,3.807955384254455566e-01,-4.785682559013366699e-01,1.011601209640502930e+00,5.847913026809692383e-01,5.738578438758850098e-01,-9.792806506156921387e-01,-3.703738749027252197e-01,-3.187211602926254272e-02,7.095723748207092285e-01,4.403991997241973877e-02
1.111111111111111160e+00,8.118835836648941040e-02,5.777839422225952148e-01,3.889554440975189209e-01,-4.888233244419097900e-01,1.033278346061706543e+00,5.973225831985473633e-01,5.861547589302062988e-01,-1.000265240669250488e+00,-3.783104717731475830e-01,-3.255509212613105774e-02,7.247774600982666016e-01,4.498363286256790161e-02
1.212121212121212155e+00,8.175610750913619995e-02,5.818244218826293945e-01,3.916754126548767090e-01,-4.922416806221008301e-01,1.040504217147827148e+00,6.014996767044067383e-01,5.902537703514099121e-01,-1.007260084152221680e+00,-3.809559941291809082e-01,-3.278275206685066223e-02,7.298458814620971680e-01,4.529820755124092102e-02
1.313131313131313149e+00,8.118836581707000732e-02,5.777840018272399902e-01,3.889554738998413086e-01,-4.888233542442321777e-01,1.033278465270996094e+00,5.973225831985473633e-01,5.861548185348510742e-01,-1.000265359878540039e+00,-3.783105015754699707e-01,-3.255509585142135620e-02,7.247775197029113770e-01,4.498363286256790161e-02
1.414141414141414144e+00,7.948510348796844482e-02,5.656626820564270020e-01,3.807955682277679443e-01,-4.785683155059814453e-01,1.011601328849792480e+00,5.847913622856140137e-01,5.738579034805297852e-01,-9.792807698249816895e-01,-3.703739047050476074e-01,-3.187211975455284119e-02,7.095724344253540039e-01,4.403992369771003723e-02
1.515151515151515138e+00,7.664635032415390015e-02,5.454604029655456543e-01,3.671957254409790039e-01,-4.614765644073486328e-01,9.754726290702819824e-01,5.639059543609619141e-01,5.533629655838012695e-01,-9.443063735961914062e-01,-3.571462631225585938e-01,-3.073382936418056488e-02,6.842305064201354980e-01,4.246706515550613403e-02
1.616161616161616132e+00,7.267209887504577637e-02,5.171772837638854980e-01,3.481559455394744873e-01,-4.375481605529785156e-01,9.248926043510437012e-01,5.346664190292358398e-01,5.246700048446655273e-01,-8.953424692153930664e-01,-3.386275768280029297e-01,-2.914022468030452728e-02,6.487519145011901855e-01,4.026507213711738586e-02
1.717171717171717127e+00,6.756234169006347656e-02,4.808132648468017578e-01,3.236762285232543945e-01,-4.067830443382263184e-01,8.598610758781433105e-01,4.970726370811462402e-01,4.877792000770568848e-01,-8.323886990547180176e-01,-3.148178160190582275e-01,-2.709130384027957916e-02,6.031365394592285156e-01,3.743393346667289734e-02
1.818181818181818121e+00,6.131707876920700073e-02,4.363683164119720459e-01,2.937565743923187256e-01,-3.691812455654144287e-01,7.803781628608703613e-01,4.511247575283050537e-01,4.426903128623962402e-01,-7.554451227188110352e-01,-2.857170104980468750e-01,-2.458706311881542206e-02,5.473843812942504883e-01,3.397365659475326538e-02
1.919191919191919116e+00,5.393632128834724426e-02,3.838424980640411377e-01,2.583969533443450928e-01,-3.247427344322204590e-01,6.864436864852905273e-01,3.968226611614227295e-01,3.894035220146179199e-01,-6.645118594169616699e-01,-2.513251304626464844e-01,-2.162750810384750366e-02,4.814955294132232666e-01,2.988423034548759460e-02
2.020202020202020332e+00,4.542006552219390869e-02,3.232358396053314209e-01,2.175974845886230469e-01,-2.734676301479339600e-01,5.780579447746276855e-01,3.341665267944335938e-01,3.279188275337219238e-01,-5.595890283584594727e-01,-2.116422355175018311e-01,-1.821264252066612244e-02,4.054699838161468506e-01,2.516567334532737732e-02
