t,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12
1.010101010101010166e+00,5.125527828931808472e-02,3.647626638412475586e-01,2.455527037382125854e-01,-3.086006045341491699e-01,6.523222923278808594e-01,3.770976364612579346e-01,3.700472414493560791e-01,-6.314806938171386719e-01,-2.388323843479156494e-01,-2.055246010422706604e-02,4.575615823268890381e-01,2.839876152575016022e-02
1.111111111111111160e+00,5.963354185223579407e-02,4.243872761726379395e-01,2.856911122798919678e-01,-3.590449094772338867e-01,7.589518427848815918e-01,4.387385249137878418e-01,4.305357038974761963e-01,-7.347034215927124023e-01,-2.778722643852233887e-01,-2.391199395060539246e-02,5.323552489280700684e-01,3.304086253046989441e-02
1.212121212121212155e+00,6.813009083271026611e-02,4.848537147045135498e-01,3.263961970806121826e-01,-4.102014005184173584e-01,8.670868277549743652e-01,5.012497305870056152e-01,4.918781518936157227e-01,-8.393834829330444336e-01,-3.174633383750915527e-01,-2.731896005570888519e-02,6.082049012184143066e-01,3.774850443005561829e-02
1.313131313131313149e+00,7.662663608789443970e-02,5.453200936317443848e-01,3.671012520790100098e-01,-4.613578319549560547e-01,9.752216935157775879e-01,5.637608766555786133e-01,5.532205700874328613e-01,-9.440634846687316895e-01,-3.570543825626373291e-01,-3.072592243552207947e-02,6.840544939041137695e-01,4.245614260435104370e-02
1.414141414141414144e+00,8.500490337610244751e-02,6.049448251724243164e-01,4.072397053241729736e-01,-5.118021965026855469e-01,1.081851363182067871e+00,6.254018545150756836e-01,6.137090921401977539e-01,-1.047286391258239746e+00,-3.960942924022674561e-01,-3.408546373248100281e-02,7.588482499122619629e-01,4.709824919700622559e-02
1.515151515151515138e+00,9.314660727977752686e-02,6.628859639167785645e-01,4.462448060512542725e-01,-5.608222484588623047e-01,1.185470223426818848e+00,6.853023767471313477e-01,6.724896430969238281e-01,-1.147594571113586426e+00,-4.340319037437438965e-01,-3.735014051198959351e-02,8.315301537513732910e-01,5.160928517580032349e-02
1.616161616161616132e+00,1.009334549307823181e-01,7.183017134666442871e-01,4.835498631000518799e-01,-6.077057123184204102e-01,1.284572958946228027e+00,7.425920963287353516e-01,7.287082672119140625e-01,-1.243530988693237305e+00,-4.703159928321838379e-01,-4.047252982854843140e-02,9.010441899299621582e-01,5.592370405793190002e-02
1.717171717171717127e+00,1.082472056150436401e-01,7.703506350517272949e-01,5.185884237289428711e-01,-6.517407298088073730e-01,1.377654433250427246e+00,7.964011430740356445e-01,7.815113067626953125e-01,-1.333638548851013184e+00,-5.043956041336059570e-01,-4.340521246194839478e-02,9.663348197937011719e-01,5.997599661350250244e-02
1.818181818181818121e+00,1.149695292115211487e-01,8.181906342506408691e-01,5.507935881614685059e-01,-6.922148466110229492e-01,1.463209033012390137e+00,8.458589315414428711e-01,8.300443887710571289e-01,-1.416459679603576660e+00,-5.357193946838378906e-01,-4.610074684023857117e-02,1.026345729827880859e+00,6.370060145854949951e-02
1.919191919191919116e+00,1.209821775555610657e-01,8.609801530838012695e-01,5.795988440513610840e-01,-7.284161448478698730e-01,1.539731502532958984e+00,8.900954127311706543e-01,8.734537959098815918e-01,-1.490537285804748535e+00,-5.637363195419311523e-01,-4.851171001791954041e-02,1.080021381378173828e+00,6.703200191259384155e-02
2.020202020202020332e+00,1.261668354272842407e-01,8.978772163391113281e-01,6.044374108314514160e-01,-7.596322298049926758e-01,1.605716347694396973e+00,9.282402396202087402e-01,9.108854532241821289e-01,-1.554413795471191406e+00,-5.878950357437133789e-01,-5.059066414833068848e-02,1.126305341720581055e+00,6.990464031696319580e-02
2.121212121212121104e+00,1.304052472114562988e-01,9.280403256416320801e-01,6.247427463531494141e-01,-7.851511240005493164e-01,1.659658432006835938e+00,9.594233036041259766e-01,9.414855241775512695e-01,-1.606632471084594727e+00,-6.076446771621704102e-01,-5.229019746184349060e-02,1.164142251014709473e+00,7.225299626588821411e-02
2.222222222222222321e+00,1.335791349411010742e-01,9.506275057792663574e-01,6.399480700492858887e-01,-8.042605519294738770e-01,1.700052142143249512e+00,9.827743172645568848e-01,9.643999338150024414e-01,-1.645735621452331543e+00,-6.224339008331298828e-01,-5.356286466121673584e-02,1.192475795745849609e+00,7.401153445243835449e-02
2.323232323232323093e+00,1.355702131986618042e-01,9.647971391677856445e-01,6.494868993759155273e-01,-8.162485957145690918e-01,1.725392460823059082e+00,9.974231719970703125e-01,9.787749052047729492e-01,-1.670266270637512207e+00,-6.317116022109985352e-01,-5.436125397682189941e-02,1.210250377655029297e+00,7.511471956968307495e-02
2.424242424242424310e+00,1.362601816654205322e-01,9.697074294090270996e-01,6.527923941612243652e-01,-8.204028010368347168e-01,1.734173655509948730e+00,1.002499461174011230e+00,9.837563037872314453e-01,-1.678766965866088867e+00,-6.349266767501831055e-01,-5.463792011141777039e-02,1.216409802436828613e+00,7.549700886011123657e-02
2.525252525252525082e+00,1.362601816654205322e-01,9.697074294090270996e-01,6.527923941612243652e-01,-8.204028010368347168e-01,1.734173655509948730e+00,1.002499461174011230e+00,9.837563037872314453e-01,-1.678766965866088867e+00,-6.349266767501831055e-01,-5.463792011141777039e-02,1.216409802436828613e+00,7.549700886011123657e-02
2.626262626262626299e+00,1.350152045488357544e-01,9.688844680786132812e-01,6.488155722618103027e-01,-8.175737857818603516e-01,1.719483137130737305e+00,9.899170398712158203e-01,9.809728860855102539e-01,-1.675058126449584961e+00,-6.244719028472900391e-01,-4.918590560555458069e-02,1.211230635643005371e+00,7.201103866100311279e-02
2.727272727272727071e+00,1.314225345849990845e-01,9.665096998214721680e-01,6.373397111892700195e-01,-8.094100356101989746e-01,1.677090525627136230e+00,9.536077380180358887e-01,9.729408025741577148e-01,-1.664355397224426270e+00,-5.943025350570678711e-01,-3.345295041799545288e-02,1.196284890174865723e+00,6.195153295993804932e-02
2.828282828282828287e+00,1.256956011056900024e-01,9.627241492271423340e-01,6.190463900566101074e-01,-7.963964939117431641e-01,1.609514117240905762e+00,8.957285881042480469e-01,9.601371288299560547e-01,-1.647294759750366211e+00,-5.462107062339782715e-01,-8.373688906431198120e-03,1.172460436820983887e+00,4.591608047485351562e-02
