t,dJ1,dJ2,dJ3,dJ4,dJ5,dJ6
1.111111111111111160e+00,1.454449295997619629e+00,3.111503720283508301e-01,-1.323230266571044922e+00,1.357290863990783691e+00,-8.783852458000183105e-01,-9.754939079284667969e-01
1.212121212121212155e+00,1.464620351791381836e+00,3.133262991905212402e-01,-1.332483649253845215e+00,1.366782426834106445e+00,-8.845278620719909668e-01,-9.823156595230102539e-01
1.313131313131313149e+00,1.454449415206909180e+00,3.111504018306732178e-01,-1.323230385780334473e+00,1.357290983200073242e+00,-8.783853650093078613e-01,-9.754940271377563477e-01
1.414141414141414144e+00,1.423936486244201660e+00,3.046227991580963135e-01,-1.295470237731933594e+00,1.328816294670104980e+00,-8.599576950073242188e-01,-9.550291299819946289e-01
1.515151515151515138e+00,1.373081445693969727e+00,2.937434017658233643e-01,-1.249203443527221680e+00,1.281358480453491211e+00,-8.292449116706848145e-01,-9.209209680557250977e-01
1.616161616161616132e+00,1.301884770393371582e+00,2.785122692584991455e-01,-1.184429883956909180e+00,1.214917778968811035e+00,-7.862470149993896484e-01,-8.731695413589477539e-01
1.717171717171717127e+00,1.210345983505249023e+00,2.589293718338012695e-01,-1.101149797439575195e+00,1.129493951797485352e+00,-7.309640645980834961e-01,-8.117747306823730469e-01
1.818181818181818121e+00,1.098465204238891602e+00,2.349947243928909302e-01,-9.993627667427062988e-01,1.025086879730224609e+00,-6.633958816528320312e-01,-7.367367148399353027e-01
1.919191919191919116e+00,9.662426710128784180e-01,2.067083418369293213e-01,-8.790692090988159180e-01,9.016968607902526855e-01,-5.835427641868591309e-01,-6.480555534362792969e-01
2.020202020202020332e+00,8.136780858039855957e-01,1.740701794624328613e-01,-7.402688264846801758e-01,7.593237161636352539e-01,-4.914044439792633057e-01,-5.457309484481811523e-01
2.121212121212121104e+00,6.407713890075683594e-01,1.370802521705627441e-01,-5.829616189002990723e-01,5.979673266410827637e-01,-3.869809508323669434e-01,-4.297630786895751953e-01
2.222222222222222321e+00,4.475227892398834229e-01,9.573856741189956665e-02,-4.071477055549621582e-01,4.176278710365295410e-01,-2.702723443508148193e-01,-3.001519143581390381e-01
2.323232323232323093e+00,2.339325249195098877e-01,5.004519224166870117e-02,-2.128273546695709229e-01,2.183056324720382690e-01,-1.412788331508636475e-01,-1.568977087736129761e-01
2.424242424242424310e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
2.525252525252525082e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
2.626262626262626299e+00,1.599391197260047193e-07,-1.342658996582031250e-01,4.212403893470764160e-01,-8.225583285093307495e-02,2.816210389137268066e-01,-7.480844110250473022e-02
2.727272727272727071e+00,3.059705306895921240e-07,-2.568565011024475098e-01,8.058511614799499512e-01,-1.573589891195297241e-01,5.387533307075500488e-01,-1.431118100881576538e-01
2.828282828282828287e+00,4.380941334147792077e-07,-3.677718341350555420e-01,1.153832316398620605e+00,-2.253094613552093506e-01,7.713967561721801758e-01,-2.049100846052169800e-01
2.929292929292929060e+00,5.563099989558395464e-07,-4.670118391513824463e-01,1.465183854103088379e+00,-2.861072421073913574e-01,9.795514345169067383e-01,-2.602032721042633057e-01
3.030303030303030276e+00,6.606181273127731401e-07,-5.545765161514282227e-01,1.739905714988708496e+00,-3.397523462772369385e-01,1.163217306137084961e+00,-3.089913725852966309e-01
3.131313131313131048e+00,7.510185469072894193e-07,-6.304659843444824219e-01,1.977998375892639160e+00,-3.862448036670684814e-01,1.322394490242004395e+00,-3.512744307518005371e-01
3.232323232323232265e+00,8.275112008959695231e-07,-6.946801543235778809e-01,2.179461002349853516e+00,-4.255845546722412109e-01,1.457082867622375488e+00,-3.870523869991302490e-01
3.333333333333333481e+00,8.900959755919757299e-07,-7.472189068794250488e-01,2.344294071197509766e+00,-4.577715992927551270e-01,1.567282319068908691e+00,-4.163252413272857666e-01
3.434343434343434254e+00,9.387731552124023438e-07,-7.880824804306030273e-01,2.472497701644897461e+00,-4.828060269355773926e-01,1.652993202209472656e+00,-4.390930235385894775e-01
3.535353535353535470e+00,9.735424555401550606e-07,-8.172706365585327148e-01,2.564071655273437500e+00,-5.006877183914184570e-01,1.714214920997619629e+00,-4.553557336330413818e-01
3.636363636363636243e+00,9.944041039489093237e-07,-8.347836732864379883e-01,2.619016170501708984e+00,-5.114167332649230957e-01,1.750948190689086914e+00,-4.651133418083190918e-01
3.737373737373737459e+00,1.001357986751827411e-06,-8.406213521957397461e-01,2.637331008911132812e+00,-5.149930715560913086e-01,1.763192772865295410e+00,-4.683659076690673828e-01
3.838383838383838231e+00,9.944042176357470453e-07,-8.347837328910827637e-01,2.619016170501708984e+00,-5.114167332649230957e-01,1.750948309898376465e+00,-4.651134014129638672e-01
3.939393939393939448e+00,9.735425692269927822e-07,-8.172707557678222656e-01,2.564071893692016602e+00,-5.006877183914184570e-01,1.714215040206909180e+00,-4.553557336330413818e-01
4.040404040404040664e+00,9.387731552124023438e-07,-7.880824804306030273e-01,2.472497701644897461e+00,-4.828060269355773926e-01,1.652993202209472656e+00,-4.390930235385894775e-01
4.141414141414140992e+00,8.900960892788134515e-07,-7.472189664840698242e-01,2.344294309616088867e+00,-4.577716290950775146e-01,1.567282438278198242e+00,-4.163252711296081543e-01
4.242424242424242209e+00,8.275112008959695231e-07,-6.946801543235778809e-01,2.179461002349853516e+00,-4.255845546722412109e-01,1.457082867622375488e+00,-3.870523869991302490e-01
4.343434343434343425e+00,7.510185469072894193e-07,-6.304659843444824219e-01,1.977998375892639160e+00,-3.862448036670684814e-01,1.322394490242004395e+00,-3.512744307518005371e-01
4.444444444444444642e+00,6.606182409996108618e-07,-5.545766949653625488e-01,1.739906072616577148e+00,-3.397524356842041016e-01,1.163217544555664062e+00,-3.089914619922637939e-01
4.545454545454544970e+00,5.563100557992584072e-07,-4.670119285583496094e-01,1.465183973312377930e+00,-2.861073017120361328e-01,9.795516133308410645e-01,-2.602033019065856934e-01
4.646464646464646187e+00,4.380941334147792077e-07,-3.677718341350555420e-01,1.153832316398620605e+00,-2.253094613552093506e-01,7.713967561721801758e-01,-2.049100846052169800e-01
4.747474747474747403e+00,3.059704454244638328e-07,-2.568564713001251221e-01,8.058509826660156250e-01,-1.573589593172073364e-01,5.387531518936157227e-01,-1.431117653846740723e-01
4.848484848484848619e+00,1.599392049911330105e-07,-1.342659741640090942e-01,4.212405681610107422e-01,-8.225587755441665649e-02,2.816211879253387451e-01,-7.480847835540771484e-02
4.949494949494949836e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
5.050505050505050164e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
5.151515151515151381e+00,-4.675942957401275635e-01,1.272932589054107666e-01,-1.927025914192199707e-01,-3.692193329334259033e-01,-3.742900192737579346e-01,3.732824325561523438e-01
5.252525252525252597e+00,-8.945282101631164551e-01,2.435175627470016479e-01,-3.686484694480895996e-01,-7.063326835632324219e-01,-7.160331010818481445e-01,7.141055464744567871e-01
5.353535353535353813e+00,-1.280801773071289062e+00,3.486728668212890625e-01,-5.278375148773193359e-01,-1.011339902877807617e+00,-1.025229215621948242e+00,1.022469282150268555e+00
5.454545454545454142e+00,-1.626414895057678223e+00,4.427591860294342041e-01,-6.702698469161987305e-01,-1.284241199493408203e+00,-1.301878213882446289e+00,1.298373699188232422e+00
